MSZoning;LotArea;Neighborhood;BldgType;OverallQual;OverallCond;YearBuilt;YearRemodAdd;RoofStyle;TotalBsmtSF;HeatingQC;CentralAir;GrLivArea;TotRmsAbvGrd;GarageCars;YrSold;SalePrice
RL;4928;NPkVill;TwnhsE;6;5;1976;1976;Gable;1078;TA;Y;958;5;2;2007;128000
RL;9473;CollgCr;1Fam;8;5;2002;2002;Gable;1128;Ex;Y;2031;7;2;2008;237000
FV;4282;Somerst;TwnhsE;7;5;2004;2004;Gable;1391;Ex;Y;1391;5;2;2008;196000
RM;3880;OldTown;1Fam;5;9;1945;1997;Gable;686;Gd;Y;866;4;0;2007;110500
RL;10970;CollgCr;1Fam;6;6;1978;1978;Gable;940;TA;Y;1026;5;2;2008;147000
RL;11344;NAmes;1Fam;5;5;1958;1958;Gable;874;TA;Y;1524;7;1;2007;144000
RL;11600;NAmes;1Fam;6;5;1960;1960;Hip;1383;TA;Y;1383;7;1;2006;145250
RM;5700;OldTown;1Fam;7;7;1926;1950;Gable;572;TA;Y;1111;5;1;2008;116900
RL;15593;ClearCr;1Fam;7;4;1953;1953;Gable;1304;TA;Y;2287;7;2;2006;225000
RL;8741;Edwards;1Fam;6;4;1945;1950;Gable;735;TA;Y;1487;7;1;2010;113000
RL;8944;NAmes;Duplex;5;5;1967;1967;Gable;1584;TA;Y;1584;8;3;2009;124000
RL;9464;NAmes;1Fam;6;7;1958;1958;Hip;1080;Gd;Y;1080;5;1;2008;136000
RH;6629;Edwards;1Fam;6;6;1925;1950;Gambrel;672;TA;N;1369;6;1;2009;103600
RL;12203;NoRidge;1Fam;8;5;1998;1999;Hip;1225;Ex;Y;2612;8;3;2009;336000
RL;8963;NWAmes;1Fam;8;9;1976;1996;Hip;1142;Ex;Y;2715;11;2;2008;299800
RL;11885;CollgCr;1Fam;8;5;2001;2001;Gable;1299;Ex;Y;1872;7;2;2009;261500
RL;2887;ClearCr;1Fam;6;5;1996;1997;Gable;1291;Ex;Y;1291;6;2;2008;173000
RM;12000;OldTown;1Fam;5;7;1948;2005;Gable;924;Ex;Y;1122;6;2;2008;147000
RM;1974;MeadowV;TwnhsE;4;5;1973;1973;Gable;546;TA;Y;1092;6;1;2010;83500
RM;1680;BrDale;Twnhs;6;7;1972;1972;Gable;672;Gd;Y;1218;7;1;2006;118000
RL;12327;SawyerW;1Fam;8;8;1983;2009;Gable;1496;Ex;Y;2132;5;2;2009;316600
RH;4270;Edwards;1Fam;3;6;1931;2006;Gable;544;Ex;Y;774;6;0;2007;79000
RL;159000;ClearCr;1Fam;6;7;1958;2006;Gable;1444;Gd;Y;2144;7;2;2007;277000
RL;12144;NAmes;1Fam;5;7;1949;1950;Gable;832;Gd;Y;1268;6;1;2009;133000
RM;8546;Edwards;1Fam;4;5;2003;2004;Gable;1121;Ex;Y;1121;5;2;2010;140000
RL;10004;NAmes;1Fam;6;6;1964;1964;Gable;1516;TA;Y;1516;6;2;2009;167000
RM;10320;IDOTRR;1Fam;6;7;1906;1995;Gable;756;Ex;Y;1469;7;1;2008;135000
RM;6000;OldTown;1Fam;4;7;1954;2000;Gable;901;Ex;Y;901;4;1;2008;107900
RM;3072;Blmngtn;TwnhsE;7;5;2004;2004;Hip;1375;Ex;Y;1414;6;2;2006;178740
RL;13500;ClearCr;1Fam;6;7;1960;1975;Flat;1602;Gd;Y;1252;4;2;2008;235000
RL;10400;CollgCr;1Fam;7;5;1998;1998;Gable;866;Ex;Y;1779;6;2;2009;197900
RL;4043;NPkVill;TwnhsE;6;5;1977;1977;Gable;1069;TA;Y;1069;4;2;2010;127500
RL;10603;NWAmes;1Fam;6;7;1977;2001;Gable;1610;Gd;Y;1610;6;2;2010;205000
RL;15256;Somerst;1Fam;8;5;2007;2007;Gable;1485;Ex;Y;1464;6;3;2007;282922
RM;9600;OldTown;1Fam;6;5;1917;1950;Gable;735;Fa;N;2058;8;2;2008;129500
RL;7175;SawyerW;TwnhsE;6;5;1984;1984;Gable;744;TA;Y;752;4;1;2010;125000
RM;13710;IDOTRR;1Fam;5;5;1950;1950;Gable;910;TA;Y;1558;6;1;2007;152000
C (all);8500;IDOTRR;1Fam;4;4;1920;1950;Gambrel;649;TA;N;1317;6;1;2008;40000
RL;9236;CollgCr;1Fam;6;5;1997;1997;Gable;1479;Ex;Y;1494;6;2;2006;217000
RL;7804;SWISU;1Fam;4;3;1928;1950;Gable;1122;TA;Y;1981;7;2;2009;135000
RL;9937;Edwards;1Fam;5;7;1964;1999;Hip;1486;Ex;Y;1486;7;2;2009;167000
RL;8172;Edwards;1Fam;5;7;1955;1990;Hip;864;TA;Y;864;5;2;2006;115000
RL;14762;Gilbert;1Fam;5;6;1948;1950;Gable;0;Gd;Y;2320;7;2;2006;169000
RL;9920;NoRidge;1Fam;7;5;1996;1997;Gable;1117;Ex;Y;2013;8;2;2007;269790
RL;8730;BrkSide;1Fam;6;7;1915;2003;Gable;698;Ex;Y;1396;7;1;2007;153575
RL;9317;CollgCr;1Fam;6;5;2006;2006;Gable;1314;Gd;Y;1314;6;2;2007;176432
RL;7153;SawyerW;1Fam;6;5;1991;1991;Gable;1278;Gd;Y;1294;6;2;2008;179200
RM;9439;OldTown;1Fam;5;5;1930;1950;Gable;912;Gd;Y;1248;6;1;2007;87000
RM;4426;CollgCr;TwnhsE;6;5;2004;2004;Gable;848;Ex;Y;848;3;2;2010;143000
RL;13125;CollgCr;1Fam;6;5;1997;1998;Gable;1478;Ex;Y;1493;7;2;2008;208900
RM;5100;OldTown;1Fam;8;7;1925;1996;Hip;588;Fa;Y;1666;7;1;2008;161000
RL;27650;NAmes;1Fam;7;7;1960;2007;Flat;585;Ex;Y;2069;9;2;2008;242000
FV;4017;Somerst;TwnhsE;7;5;2006;2007;Gable;625;Ex;Y;1250;5;2;2008;171900
RL;9717;NAmes;1Fam;5;6;1950;1996;Hip;1078;Gd;Y;1078;5;1;2010;142125
RL;8731;BrkSide;1Fam;5;5;1920;1950;Gable;915;TA;Y;1167;6;2;2007;144000
RL;15384;Gilbert;1Fam;7;5;2004;2005;Gable;788;Ex;Y;1490;8;2;2008;184000
RL;7134;NAmes;1Fam;5;5;1955;1955;Gable;384;TA;Y;1360;6;2;2007;130000
RL;12118;Mitchel;1Fam;7;5;2004;2005;Hip;1710;Ex;Y;1710;7;2;2009;240000
RL;7313;NridgHt;TwnhsE;9;5;2005;2005;Hip;1561;Ex;Y;1561;6;2;2007;277500
RL;8400;SWISU;1Fam;2;5;1920;1950;Gable;290;TA;N;438;3;1;2009;60000
RL;5001;NridgHt;Twnhs;7;5;2007;2008;Gable;1314;Ex;Y;1314;6;2;2009;230000
RL;10382;NWAmes;1Fam;7;6;1973;1973;Gable;1107;Ex;Y;2090;7;2;2009;200000
RH;7082;SWISU;2fmCon;5;8;1916;1995;Gable;686;Gd;Y;1928;10;0;2006;160000
RM;4608;OldTown;1Fam;4;6;1945;1950;Gable;747;TA;Y;747;4;1;2010;80000
RL;11457;Timber;1Fam;6;5;1988;1988;Gable;1392;TA;Y;1412;6;2;2009;175000
RL;7226;CollgCr;1Fam;7;5;2003;2003;Gable;798;Ex;Y;1640;6;2;2008;183000
RL;17755;Edwards;1Fam;5;4;1959;1959;Gable;1466;TA;Y;1466;6;2;2006;149900
RL;10800;NWAmes;1Fam;6;7;1974;1997;Gable;1522;TA;Y;2614;9;2;2008;240000
RL;10200;NAmes;1Fam;5;7;1954;2003;Gable;1086;Gd;Y;1086;6;2;2010;144900
RL;9100;CollgCr;1Fam;7;5;2001;2001;Gable;1212;Ex;Y;1212;6;2;2009;178000
RL;9017;CollgCr;1Fam;7;5;1999;1999;Gable;1431;Ex;Y;1431;6;2;2009;192000
RL;10852;Gilbert;1Fam;6;5;2000;2000;Gable;959;Ex;Y;1671;7;2;2006;173000
RL;8925;Timber;1Fam;8;5;2007;2007;Gable;1466;Ex;Y;1466;7;3;2009;201000
RL;26178;Timber;1Fam;7;5;1989;1990;Hip;1210;Ex;Y;2519;9;2;2006;335000
RL;9600;NAmes;1Fam;5;7;1950;2007;Gable;1113;Gd;Y;1113;5;1;2009;147000
RL;10628;NAmes;1Fam;7;5;1970;1970;Flat;1277;TA;Y;1277;5;2;2007;167000
RM;6120;BrkSide;1Fam;5;7;1931;1993;Gable;715;TA;Y;875;5;1;2009;105000
RL;12898;Timber;1Fam;9;5;2007;2008;Hip;1620;Ex;Y;1620;6;3;2009;315500
RM;1526;MeadowV;Twnhs;4;8;1970;2002;Gable;630;TA;Y;630;3;1;2009;86000
RL;10655;NridgHt;1Fam;8;5;2003;2004;Gable;3206;Ex;Y;1629;7;3;2009;284000
RL;7056;NAmes;1Fam;6;5;1963;1963;Hip;780;TA;Y;1796;8;2;2008;140000
RL;10380;SawyerW;1Fam;7;5;1986;1987;Gable;1502;Ex;Y;2730;8;2;2007;301000
RL;9591;NridgHt;1Fam;8;5;2004;2005;Hip;1713;Ex;Y;1713;7;3;2009;274900
RL;15863;SWISU;1Fam;7;3;1920;1970;Gable;824;Ex;Y;3082;12;2;2009;197000
RL;11423;CollgCr;1Fam;8;5;2001;2002;Gable;1581;Ex;Y;1601;6;2;2010;272000
RL;8480;Sawyer;1Fam;5;6;1963;1963;Hip;970;TA;Y;970;5;2;2007;132500
RL;11988;NAmes;1Fam;6;6;1957;1957;Gable;1244;Ex;Y;1244;6;1;2007;150000
RL;8450;SawyerW;1Fam;7;5;2000;2001;Gable;1349;Ex;Y;1349;6;2;2007;179000
RL;7892;SawyerW;TwnhsE;6;5;1993;1993;Gable;1199;Ex;Y;1199;5;2;2008;153900
RL;11838;CollgCr;1Fam;8;5;2001;2001;Hip;1753;Ex;Y;1788;7;2;2009;236500
RM;5820;OldTown;1Fam;3;8;1955;2005;Gable;1162;Ex;Y;1163;6;1;2006;126175
RL;8280;NAmes;1Fam;6;5;1950;1950;Gable;932;Ex;Y;932;4;1;2007;124000
RM;1596;MeadowV;Twnhs;4;5;1973;1973;Gable;462;TA;Y;988;5;1;2009;91000
RM;2665;MeadowV;TwnhsE;5;6;1977;1977;Gable;757;Ex;Y;1475;6;1;2006;127000
RM;1920;BrDale;TwnhsE;5;5;1971;1971;Gable;765;Ex;Y;1365;6;2;2007;122500
RL;9200;NAmes;1Fam;6;6;1965;1965;Gable;1136;TA;Y;1136;5;1;2008;140000
RL;10012;Edwards;1Fam;4;5;1972;1972;Gable;1138;TA;Y;1181;6;2;2008;137500
RL;14598;Somerst;1Fam;6;5;2007;2007;Gable;894;Ex;Y;1933;9;3;2008;214000
RL;11664;NAmes;1Fam;6;5;1948;1950;Gable;1082;TA;Y;1082;5;1;2007;119200
RL;11000;NoRidge;1Fam;8;5;2000;2000;Gable;969;Ex;Y;2285;8;3;2007;248000
RL;7180;CollgCr;1Fam;5;7;1972;1972;Hip;864;TA;Y;864;5;1;2008;127000
RL;8250;NAmes;1Fam;6;7;1964;1964;Hip;1092;Ex;Y;1092;6;2;2008;145000
RL;12000;Crawfor;1Fam;7;7;1941;1950;Gable;704;Ex;Y;1564;7;1;2009;174500
RL;11308;NridgHt;1Fam;9;5;2008;2008;Gable;1104;Ex;Y;2184;10;3;2009;335000
RM;5890;IDOTRR;1Fam;6;8;1930;2007;Gable;816;Ex;Y;816;5;1;2008;120500
RL;4920;StoneBr;TwnhsE;8;5;2001;2001;Gable;1338;Ex;Y;1338;6;2;2010;213500
RL;9600;NAmes;1Fam;5;7;1949;2003;Gable;845;TA;Y;893;4;2;2007;135000
RL;32463;Mitchel;2fmCon;4;4;1961;1975;Gable;1249;Ex;Y;1622;7;4;2007;168000
RM;10800;OldTown;2fmCon;6;7;1905;2000;Gable;482;Ex;N;1912;7;2;2008;163000
RM;2016;BrDale;TwnhsE;5;5;1970;1970;Gable;630;TA;Y;1302;6;2;2007;106000
RL;9873;BrkSide;2fmCon;4;5;1970;1970;Gable;960;TA;N;960;6;2;2006;129000
RM;18386;OldTown;1Fam;7;9;1880;2002;Gable;1470;Ex;Y;3493;10;3;2008;295000
RL;9020;NAmes;1Fam;6;7;1966;1966;Gable;1127;TA;Y;1165;6;2;2008;174900
RL;8366;SawyerW;1Fam;6;5;2004;2004;Gable;798;Ex;Y;1640;6;2;2008;173000
RM;9600;OldTown;1Fam;5;8;1925;1994;Gambrel;702;Gd;Y;1472;6;1;2007;125000
RL;10800;OldTown;1Fam;5;8;1936;1989;Gable;796;Gd;Y;1466;7;2;2006;170000
RL;3182;Blmngtn;TwnhsE;7;5;2005;2006;Gable;1373;Ex;Y;1555;7;2;2009;192500
RL;8000;Gilbert;1Fam;6;5;1995;1996;Gable;773;Gd;Y;1658;8;2;2008;188000
RL;11414;BrkSide;1Fam;7;8;1910;1993;Gable;728;TA;N;2019;8;2;2009;167500
RL;8688;Somerst;1Fam;7;5;2005;2005;Gable;1616;Ex;Y;1616;7;3;2006;232000
RL;9313;CollgCr;1Fam;7;5;2004;2004;Gable;864;Ex;Y;1728;7;2;2009;190000
FV;5105;Somerst;TwnhsE;7;5;2004;2004;Gable;551;Ex;Y;1102;4;2;2007;148800
FV;8125;Somerst;1Fam;7;6;2007;2007;Gable;813;Ex;Y;1665;7;2;2008;205950
RL;7200;NAmes;1Fam;4;5;1950;1950;Gable;0;TA;Y;1040;4;2;2006;109900
RL;21930;Gilbert;1Fam;5;5;2005;2005;Gable;732;Ex;Y;1838;7;2;2006;192140
RL;11029;NAmes;1Fam;6;8;1958;2002;Hip;1184;Ex;Y;1414;6;2;2008;176500
RL;9900;SWISU;1Fam;6;7;1940;1950;Gable;778;TA;Y;1489;7;1;2009;139500
RL;9825;Edwards;Duplex;5;5;1965;1965;Hip;0;TA;N;1664;8;0;2010;100000
RL;7681;Crawfor;1Fam;5;6;1921;1950;Gable;731;Ex;Y;1343;7;1;2009;154900
RM;9900;OldTown;1Fam;6;4;1880;1950;Gable;1008;TA;Y;2210;8;1;2007;117500
RL;10637;CollgCr;1Fam;8;5;2007;2008;Hip;1705;Ex;Y;1718;7;3;2009;297000
RL;6563;StoneBr;1Fam;8;5;1985;1985;Gable;1742;TA;Y;1742;5;2;2006;275000
RL;9100;CollgCr;1Fam;7;5;2004;2005;Hip;1860;Ex;Y;1836;8;2;2006;216837
RL;7585;Edwards;1Fam;5;3;1948;1950;Gable;810;Fa;Y;1456;7;1;2006;91500
RL;9560;CollgCr;1Fam;5;7;1972;1972;Hip;864;Ex;Y;864;5;1;2006;128500
RL;8544;NAmes;Duplex;3;4;1949;1950;Gable;0;Fa;N;1040;6;2;2006;87500
RL;9600;NAmes;1Fam;6;6;1955;1972;Gable;1156;Ex;Y;1520;7;1;2010;153000
RL;7200;NAmes;1Fam;5;7;1955;2007;Gable;0;Ex;Y;827;5;1;2010;107500
RL;17120;ClearCr;1Fam;4;4;1959;1959;Gable;0;TA;Y;1588;7;2;2008;134432
RL;7535;NAmes;1Fam;5;7;1958;1985;Gable;912;Fa;Y;912;5;1;2007;120000
RL;13568;CollgCr;1Fam;5;5;1995;1995;Gable;990;Ex;Y;990;5;2;2006;156000
RM;6120;BrkSide;1Fam;4;7;1935;1995;Gable;884;Ex;Y;1573;6;1;2009;133000
RL;11952;NWAmes;1Fam;7;6;1977;1977;Mansard;808;TA;Y;1969;8;2;2007;190000
RM;13600;OldTown;2fmCon;5;5;1900;1950;Gable;662;TA;N;2337;10;2;2007;90000
RM;6000;BrkSide;1Fam;4;6;1936;1950;Gable;672;TA;Y;1324;6;1;2009;128000
RL;8877;Edwards;1Fam;4;6;1938;1958;Gable;816;Ex;Y;816;3;1;2009;100000
RL;11957;Somerst;1Fam;8;5;2006;2006;Gable;1574;Ex;Y;1574;7;3;2008;232000
RL;11900;NAmes;1Fam;6;5;1957;1957;Gable;1392;TA;Y;1392;6;2;2008;166000
RM;4118;OldTown;1Fam;4;4;1941;1950;Gable;693;Fa;N;693;4;0;2006;52500
RL;14112;NAmes;1Fam;5;7;1964;1964;Hip;1152;TA;Y;1152;6;2;2010;180500
RL;10778;Sawyer;Duplex;4;5;1968;1968;Hip;1768;TA;N;1768;8;0;2010;136500
RL;11923;CollgCr;1Fam;9;5;2007;2007;Gable;1800;Ex;Y;1800;7;2;2009;239000
RL;22420;Crawfor;1Fam;6;6;1918;1950;Hip;1370;TA;N;2624;10;3;2007;239000
RL;9600;NAmes;1Fam;5;6;1956;1956;Hip;1050;Gd;Y;1050;5;1;2009;128900
RL;10721;NAmes;1Fam;6;6;1959;1959;Hip;1252;Ex;Y;1252;7;2;2008;142000
RM;8800;OldTown;1Fam;4;7;1910;2004;Gable;576;Gd;Y;1140;7;0;2010;96500
RL;6993;Sawyer;1Fam;5;7;1961;1994;Gable;912;TA;Y;1236;6;1;2006;135000
RL;11846;NridgHt;1Fam;9;5;2003;2004;Hip;1792;Ex;Y;1792;6;3;2006;374000
RM;4500;Mitchel;TwnhsE;6;5;1999;1999;Hip;1224;Ex;Y;1224;5;2;2009;165000
RL;8556;CollgCr;1Fam;7;5;2006;2006;Gable;1240;Ex;Y;1240;5;3;2007;194000
RL;7861;Gilbert;1Fam;6;5;2002;2003;Gable;783;Ex;Y;1509;7;2;2006;183200
RL;10592;Crawfor;1Fam;6;7;1923;1996;Hip;602;TA;Y;1502;7;1;2007;165000
RL;10634;NAmes;1Fam;5;6;1953;1953;Gable;608;TA;Y;1319;5;1;2009;123000
RL;8923;NAmes;1Fam;5;7;1953;2006;Gable;1008;Gd;Y;1008;6;1;2007;134500
RL;115149;ClearCr;1Fam;7;5;1971;2002;Gable;1643;TA;Y;1824;5;2;2007;302000
RL;13695;SawyerW;1Fam;5;5;2004;2004;Gable;1114;Ex;Y;1114;6;2;2008;159000
RL;13600;NAmes;1Fam;7;6;1965;1990;Gable;768;TA;Y;1986;7;2;2009;205000
RH;9000;SawyerW;1Fam;6;3;1928;1950;Gable;784;TA;N;784;5;2;2009;76000
RM;1680;BrDale;Twnhs;6;5;1973;1973;Gable;483;TA;Y;987;5;1;2008;100000
RL;8414;Sawyer;1Fam;6;8;1963;2003;Hip;1059;TA;Y;1068;6;1;2006;154500
RM;2500;OldTown;1Fam;7;8;1915;2005;Gable;910;Ex;Y;1826;7;1;2009;155000
RL;12122;NAmes;1Fam;7;9;1961;2007;Gable;944;Gd;Y;999;6;2;2008;178400
RL;9350;NAmes;1Fam;5;8;1965;1999;Gable;1219;Gd;Y;1265;6;2;2008;179900
RL;10140;NWAmes;1Fam;6;6;1974;1999;Hip;1040;Fa;Y;1309;5;2;2006;181000
RL;8880;SawyerW;1Fam;7;5;1994;2002;Gable;948;Ex;Y;2110;8;2;2010;205000
RL;13758;Timber;1Fam;7;5;1990;1991;Gable;1156;Ex;Y;1717;7;2;2007;187500
RL;10000;CollgCr;1Fam;8;5;1995;1996;Gable;1220;Ex;Y;2090;8;2;2007;240000
RM;1936;MeadowV;Twnhs;4;6;1970;1970;Gable;630;Gd;Y;630;3;0;2007;84500
RL;9000;NAmes;1Fam;4;6;1971;1971;Gable;864;TA;Y;864;5;2;2007;120500
RM;1953;BrDale;Twnhs;6;5;1973;1973;Gable;483;TA;Y;987;5;1;2006;83000
RL;7200;SWISU;1Fam;7;9;1936;2007;Gable;560;Ex;Y;1135;6;2;2009;155000
RL;10927;NridgHt;1Fam;8;5;2005;2005;Gable;1058;Ex;Y;1904;8;2;2006;275000
RL;3635;Blmngtn;TwnhsE;7;5;2007;2007;Hip;1386;Ex;Y;1569;7;3;2009;175900
RL;14230;NridgHt;1Fam;8;5;2007;2007;Gable;1566;Ex;Y;1600;7;3;2009;256300
RM;8235;OldTown;1Fam;5;7;1955;1995;Gable;825;TA;Y;825;4;2;2008;125000
RM;10800;OldTown;1Fam;4;7;1885;1995;Mansard;641;Gd;Y;1047;6;1;2007;100000
RL;5000;BrkSide;1Fam;1;3;1946;1950;Gable;0;Fa;N;334;2;0;2007;39300
RL;21750;Mitchel;1Fam;5;5;1954;1954;Hip;988;Ex;Y;988;4;2;2008;113000
RL;12677;NridgHt;TwnhsE;8;5;2003;2004;Hip;1518;Ex;Y;1518;6;2;2008;274000
RL;11194;Gilbert;1Fam;8;5;2000;2000;Gable;1406;Ex;Y;1936;7;2;2006;230500
RL;9400;Mitchel;Duplex;6;5;1971;1971;Mansard;912;TA;Y;1824;8;0;2010;139000
RL;9245;CollgCr;1Fam;5;5;1994;1995;Gable;990;Ex;Y;990;5;2;2008;145000
RL;10395;NWAmes;1Fam;6;6;1978;1978;Gable;1032;TA;Y;1032;6;2;2007;148000
RL;14175;Sawyer;1Fam;5;6;1956;1987;Gable;1188;Gd;Y;1437;6;2;2006;168000
RL;6171;SWISU;1Fam;6;6;1925;1990;Gable;976;Ex;Y;1608;7;1;2009;137450
RL;8445;CollgCr;1Fam;5;7;1972;2007;Gable;768;TA;Y;768;5;2;2009;133000
RL;16157;Veenker;1Fam;5;7;1978;1978;Gable;1360;Ex;Y;1432;5;2;2007;194000
RL;7500;Gilbert;1Fam;7;5;1999;1999;Gable;994;Gd;Y;1804;7;2;2010;189000
RL;13175;NWAmes;1Fam;6;6;1978;1988;Gable;1542;TA;Y;2073;7;2;2010;210000
RL;7930;NAmes;1Fam;6;8;1969;2005;Gable;1026;Gd;Y;1026;5;2;2009;156000
RM;7200;OldTown;1Fam;7;7;1920;1950;Hip;596;Ex;Y;1762;8;2;2006;157000
RL;7851;Gilbert;1Fam;6;5;2002;2002;Gable;860;Ex;Y;1960;8;2;2010;216500
RL;7943;Sawyer;1Fam;4;5;1961;1961;Gable;1029;Gd;Y;1029;5;1;2007;118500
RL;7800;Edwards;1Fam;5;8;1948;2002;Gable;896;Ex;Y;2008;8;1;2006;225000
RL;16466;Edwards;1Fam;5;7;1955;1955;Gable;816;TA;Y;1393;8;1;2008;135500
RM;4435;CollgCr;TwnhsE;6;5;2003;2003;Gable;848;Ex;Y;848;4;2;2009;140000
RM;4426;CollgCr;TwnhsE;6;5;2004;2004;Gable;848;Ex;Y;848;3;2;2008;141000
RM;8930;Sawyer;Duplex;6;5;1978;1978;Gable;0;TA;Y;1902;8;2;2010;112000
RM;4435;CollgCr;TwnhsE;6;5;2003;2004;Gable;848;Ex;Y;848;4;2;2009;144000
RL;10530;NAmes;1Fam;6;5;1971;1971;Hip;981;TA;Y;981;5;2;2007;143250
RL;9100;NAmes;1Fam;6;6;1959;1959;Hip;864;Ex;Y;864;5;1;2009;127500
RL;8800;CollgCr;1Fam;5;7;1977;2008;Gable;1040;TA;Y;1040;5;2;2009;150500
FV;12552;Somerst;1Fam;7;5;2004;2005;Gable;991;Ex;Y;1947;8;2;2010;254900
RL;12400;NAmes;1Fam;6;7;1958;1998;Hip;1215;TA;Y;1215;6;1;2009;155000
RL;21384;BrkSide;1Fam;5;6;1923;2004;Gable;1324;Ex;Y;1576;6;2;2009;223500
RL;11700;NWAmes;1Fam;6;6;1968;1968;Gable;708;Gd;Y;1416;7;2;2006;179900
RL;13837;NWAmes;1Fam;7;5;1988;1988;Gable;1204;Gd;Y;2183;9;3;2006;229000
